original 	 predicted
2512.85	2430.733201621006
2583.79	2524.814256604754
3748.77	3610.241336781673
3520.65	3372.046337540831
6673.84	6134.036749321071
4533.31	4429.844400662044
3402.31	3265.612840768905
2029.03	2062.3933473751813
2702.84	2611.54609365793
4047.41	3904.25971077581
2506.19	2553.6816430221916
2272.25	2361.2102195956204
2930.92	2819.1166565471503
3196.87	3149.4158086404254
3934.63	3748.8906693336467
4498.27	4296.938859847891
1753.19	1898.3150405288843
3050.21	2966.579225941579
5785.19	5484.396234412002
3533.24	3312.9763301173357
6318.53	6038.069510141672
2260.59	2247.0115909656215
4386.78	4279.839092311773
5950.95	5816.980713208505
5370.96	5068.172201713501
2342.83	2262.327843084204
2315.89	2303.232423505156
4838.78	4603.275880043616
3229.58	3115.8841479694565
3033.9300000000003	3049.423863329219
3664.19	3507.9055873911702
2069.21	2102.393920338059
5775.219999999999	5688.360820432721
5471.25	5085.823586797251
5062.02	4953.866603127793
5286.39	5240.428689990028
1729.06	1886.9075775754911
5843.72	5726.482113040726
3263.81	3130.432891133479
3511.37	3367.615350508925
2176.83	2117.9993734052778
2956.54	2952.730399536497
2915.86	3090.198671330364
5975.71	5786.215892547546
4768.88	4698.342982965189
3243.23	3189.7615563663676
3474.88	3338.708264545323
2182.38	2183.9022323426957
3076.83	3012.815970218217
3410.17	3263.481564985646
2189.37	2227.585629611348
1896.03	1967.220383698962
2232.56	2165.4936976922613
4719.66	4469.419904200709
3056.77	3080.5355985166643
4003.13	3872.5884858691734
5748.63	5433.204625539624
4286.12	4091.3424125455604
3128.95	2919.1091324547124
2266.22	2275.4784127442736
2098.99	2128.8475153729028
2995.04	2966.7885039664216
5280.98	5002.171653270284
2375.01	2284.1582499686724
4720.17	4523.777896451861
2721.77	2744.001152214142
4639.37	4496.500825330892
1766.92	1989.26916177361
3639.8	3447.974534077807
1976.96	2022.9567569982253
3365.15	3207.7893109417937
5316.82	5055.924833941642
2553.75	2472.8339907109375
2749.37	2705.253842858699
2394.82	2310.829902666153
6816.53	6311.341941490982
2470.63	2383.0597467289226
3545.42	3414.988206836714
6642.82	6223.940173619349
4214.1	4068.9166883899134
2141.61	2155.3258234414734
4881.38	4622.393826490761
2519.34	2433.8189706270246
3025.13	2918.973901852408
5636.52	5593.758021277108
5420.9	5078.036559491325
3689.14	3514.029115455485
4639.32	4500.768820371636
4789.54	4581.838170113769
3587.92	3435.462556696516
4193.77	4000.321010667668
1790.54	1917.9647699902562
5924.78	5634.91218719262
2813.04	2727.0831572577017
2206.12	2141.610957106845
4481.25	4388.49601248626
2086.52	2049.7143083605083
3933.38	3831.7860888406867
6267.8	6023.996432411745
3496.89	3485.9338446497313
2754.26	2686.2299681610493
3366.43	3348.4986533848587
6919.41	6347.364651318831
2846.31	2779.1735572058374
2147.58	2094.7472162283184
3776.3100000000004	3679.3279828924005
2935.76	2819.117844270795
1994.79	2026.8442755736132
3949.3600000000006	3765.3990123990134
5155.08	5001.482157172651
3492.4399999999996	3370.0445938599673
3585.5	3380.7587012844806
2491.94	2406.948104546602
3890.6900000000005	3782.733605368907
3887.5	3757.038441573431
6180.17	5901.464179557953
5187.13	5024.055916506127
3196.23	3068.76799924386
3156.0	3062.4314493764186
2424.09	2334.99197620718
3321.1900000000005	3150.8782582101585
5263.2	5040.964561073393
2438.06	2434.382164645758
3657.27	3559.2843741945426
1717.89	1891.3489316552934
3275.22	3093.116674160404
1825.74	1933.1478830320002
2872.73	2850.5430550489164
2990.32	2870.416622785916
3464.56	3453.160611888734
2453.44	2402.6238795575946
1962.86	2005.9328593661833
5458.55	5338.326044914383
error	7.433317147649481%
